	VHL	CDKN2A_loss	PBRM1	SETD2	BAP1	MTOR	ATM	ARID1A	MLL3	CLTC	DIS3	PTEN	ACO1	EIF2C3	EIF4A2	MAX	NCOR1	NFE2L2	NUP98	SOX9	TBL1XR1	ZNF814	DHX15	ACTG1	ARHGAP26	ASH1L	BMPR2	CAD	CCAR1	COPS2	EGFR	EIF4G1	ELF1	FUS	HDAC9	IDH1	KEAP1	LPHN2	MET	MGA	PABPC1	PSMA6	RPL5	SHMT1	TCF12	TJP1	WHSC1L1
ASH1L	1.17476322175507	1.18147995347761	1.62284488104984	1	1	1	1	1	1	1	1	1.39628309236152	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1.52013778484367	1	1	1	1	1	1	1	1	1	1	1
BMPR2	0.934822790074396	1.63105564183175	1.2293560957506	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CAD	0.937056522577315	1.64694643006236	1	1.27202158790236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1.49296128707893	1	1	1	1	1	1	1
CCAR1	1.63808346028985	0.957146296444908	1.22124912110489	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COPS2	0.942848136331506	0.953110797525967	1	1	1	1	1	1	1	1.35417870852045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EGFR	1.1719978669034	0.948690495799704	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.36472855037969	1	1	1.38184941650376	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EIF4G1	1.170516433079	0.950960829958854	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ELF1	0.931311843622898	0.946694979854078	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FUS	1.17916382427	1.19509990412188	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1.43582887700535	1	1	1	1	1	1	1
HDAC9	0.937171219431768	0.955257682697381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1
IDH1	0.939254594460604	1.18386370941819	1.22778254586533	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.52013778484367	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1
KEAP1	0.941572428648358	1.64405762304922	1.2298212013582	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1
