	TP53	CDKN2A_loss	STK11_loss	EGFR_gain	PTEN_loss	FGFR1_gain	FAT1	CDKN2A	NOTCH1	MLL2	MDM2_gain	PIK3CA	NSD1	LAMA2	CASP8	MACF1	EP300	FBXW7	FAT2	KALRN	EPHA2	APC	HLA-A	RASA1	HRAS	NOTCH2	BAZ2B	FN1	ZNF750	ATR	ARID1B	SMARCA4	ARID2	CTCF	CUL3	CYLD	MYH9	NFE2L2	PBRM1	TGFBR2	ATM	SPTAN1	APAF1	BRCA1	EGFR	MEF2C	TRIO	HLA-B	MLL	MTOR
TP53	NA	2.15273552138444	1.62313015051689	1.64797431730645	1.45564397567701	1.30052768229468	1.30984501190778	1.58997693458623	1.22894021538561	1.17921993187951	1.27904886629608	1.00628041562541	1.06268015477262	1.31107887805572	1.01630881730366	1.06899405876925	0.942586426026324	1.11243711639303	0.829521092291056	0.950334044025193	0.950975375158802	1.03648310482916	0.997375873825181	1.34998639272491	0.728268632553265	1.22199764758757	1.22357686238582	1.02113609282954	0.811847063600188	1.41601945013219	0.858386398678033	0.967356928309203	0.746622054830364	0.857389359198672	1.4135936967154	0.79529630124593	1.16631382005336	1.04087181252008	1.41534357855901	0.796592952365743	0.999106009173123	0.717093611911416	1.24543324463856	1.24350592493141	0.936917461322968	1.25508137900809	1.40594892227494	0.933562686082539	1.22170429923594	1.03291411798165
CDKN2A_loss	2.15273552138444	NA	1.82214867263608	1.85068699075588	1.64631112632791	1.5778943785069	1.44864176324871	1.52947621307868	1.38706822521677	1.27722403919323	1.5333668956707	1.23628375720426	1.20776746296099	1.46315379965628	1.19025055073991	1.09231652589272	0.881590035397819	1.36763996138996	0.916638718974291	1.14284826340875	1.14618334550767	1.14518641737625	1.11349527992942	1.40849315897285	0.919867127823027	1.15648214538307	1.37051358587503	1.04082106837195	0.806968141835605	1.36685473534267	0.735025578140786	0.986628128292065	0.986168785557513	0.9859346900278	1.34709198270601	0.501254413791917	1.06707103886145	1.48460499263114	1.4803617399154	0.923017343380247	1.32510776634272	1.01038441141214	1.29935766838043	1.30118564772968	1.12690066759611	1.46806834706738	1.28380618221385	1.12026451398152	1.0515844728904	1.27150643214519
STK11_loss	1.62313015051689	1.82214867263608	NA	1.39137469073091	1.22127847759064	1.22907616360996	1.1010020025313	1.13288288288288	1.01017868403358	1.07965135982377	1.06290211891977	0.821699045003353	0.923478543287455	0.936082430809667	0.905157974124002	0.887182932488098	0.988207004511352	0.809302131152525	0.911323572743228	0.934390792721874	0.933172961160858	0.79404016820562	0.959886037210103	0.960232230309951	0.726623112199843	0.845822296339217	1.02628023743165	1.02547949742093	0.848579805573068	0.970165627873197	0.874607631604606	0.969849712770907	0.87291991343475	0.873737277474936	0.79760462103142	0.903353765614586	1.01412061706179	1.12077004654472	1.21638202619798	0.799910561518121	0.703545990250008	0.946495013177614	1.12133454834683	0.990978693430856	0.719708951889007	0.861082442824686	0.991461435325665	0.722438981550376	0.901323774844485	1.05481187851491
EGFR_gain	1.64797431730645	1.85068699075588	1.39137469073091	NA	1.03649824094637	1.12771065959481	0.993920665854018	1.19094722837918	0.9421938740757	0.899697740044275	1.15188091170659	0.863641005705852	1.05875647973349	1.17333235169959	0.899197670133028	0.733342557841897	0.861644029733012	1.02382173834174	0.814294096636993	1.10387212566511	0.967047494956909	0.761433093211089	0.992006596331891	1.13959841771714	0.767055980981469	0.705553817929172	1.1352428371941	1.13537938882711	0.711280284379817	0.998605972978358	0.814468324107783	0.669121982963656	1.0006881317747	0.911932352127067	1.13504724402433	0.729579173406213	1.04280537520761	1.04254363231836	0.835559970406935	0.940631812387325	0.97681506687621	0.74624601283288	0.891928508724793	1.02137651773574	0.69409628557609	1.01477451533832	1.0250611732745	0.764823364631426	1.0839279042044	0.933676807778629
PTEN_loss	1.45564397567701	1.64631112632791	1.22127847759064	1.03649824094637	NA	1.13377352574574	0.858446886998419	1.21584857752268	0.903592903826571	0.859769540825702	1.05879821505516	0.939627019020996	0.89645390712657	0.925469366294204	0.804219024551191	0.916446934739618	0.849187738462058	0.829701295576666	0.789797447906935	0.689971327906167	0.935248312505083	1.00135862558282	0.807759954666671	1.02383420214894	0.809552019564614	1.16416716947018	1.00175062891864	1.0016046894109	1.08446734685759	0.853669171717655	0.714394590733803	0.947643051442427	0.857124876006475	0.765625843282821	1.43788049907464	1.06806396560495	0.972942656043505	1.2580924426562	0.974303460032969	0.971752698065371	0.900183095877007	0.898244574850079	1.05437559049626	1.05262571101612	0.737978642542958	1.05273994798286	0.804110922019276	1.04752762062243	0.825868551478308	0.751544894264097
FGFR1_gain	1.30052768229468	1.5778943785069	1.22907616360996	1.12771065959481	1.13377352574574	NA	1.04954563734519	0.817261920818253	0.922994817997358	0.991700114868166	1.13217967235171	0.789581528346548	0.90342407611805	1.00769183899276	0.936815488572428	0.959797776139508	0.993786840900248	1.14130441962058	0.957114146042649	1.03683116593231	0.908995381867987	0.845092124258884	1.05899448978136	0.850845157671358	0.851530019514806	0.958075123090432	1.0363030983695	0.879024549908107	0.879942135806657	0.893473244894043	0.806442367817689	0.894262793678486	0.809131971208605	0.809016899866695	0.815188432730962	0.815302631117704	0.815732492014763	0.816513371521667	1.09807081357337	0.9138140323917	0.77565172611571	0.937398307293424	0.845360070429654	0.963983485110246	0.784243160752649	0.783588925672423	0.965044056724872	0.966303295431736	0.866360977022723	0.865920342110818
FAT1	1.30984501190778	1.44864176324871	1.1010020025313	0.993920665854018	0.858446886998419	1.04954563734519	NA	0.944653774210087	1.09108253019671	0.926926962030062	0.901984721752164	0.941162017567188	0.955122772902625	0.945139643492937	1.19974277590106	0.933465362846481	1.04880211731623	0.994958748946677	0.917533792029033	1.04263485820583	1.04011236551764	0.873073838369763	0.939878558576726	1.00279250575109	1.1189125927498	1.03962149540083	1.04227877054526	0.972079911520175	1.0406677864305	1.14301450983694	1.06740501738238	0.915717205540214	0.993655849548498	1.13938437901613	0.932396243276055	0.845560137758044	0.932197479765153	1.01618760140434	0.933116903255319	0.934060387075016	0.954577486548284	0.954260122688763	0.977178069720626	0.977178069720626	1.18630194070723	0.816961618762912	1.0828154916891	0.980873176114868	1.01254189545746	1.13022356270416
CDKN2A	1.58997693458623	1.52947621307868	1.13288288288288	1.19094722837918	1.21584857752268	0.817261920818253	0.944653774210087	NA	1.00940551048417	0.879772935118508	0.911313133519847	1.01328096194918	0.897057631756459	1.03226352528569	1.04350057288431	0.93845424039805	0.968081898548137	0.782221958886958	0.763711466884841	0.800357711615195	0.869336187015745	0.993449527567804	0.877371543760697	1.20662404590646	1.0116773518252	0.979913246068484	0.979976297236871	1.0527091150038	0.906175145282515	0.831954319017768	0.833425100944372	1.0007727172081	0.836054081235107	0.792315504400812	0.937486191913985	0.935952868770458	0.935333241608142	0.936835658465875	1.02937966172546	0.845411673755332	0.960197577159294	0.960105843651071	0.985519081449314	1.10125485382555	0.811508209524756	0.98681836989851	0.872769177819972	1.09663742391958	0.891215994671102	0.823340366535374
NOTCH1	1.22894021538561	1.38706822521677	1.01017868403358	0.9421938740757	0.903592903826571	0.922994817997358	1.09108253019671	1.00940551048417	NA	0.974227026042974	0.848631678421969	1.01108215959873	0.848263390529394	0.771336155395487	1.12975691345733	1.07083247781968	0.969670300552653	0.947317661465263	0.911085723648876	0.979489997308693	0.919878094312954	0.922890997391852	0.995018349461945	0.993725868725869	0.993160644962157	1.09363652249626	1.02659135583137	0.878318198812798	0.84090539422293	0.885308852289984	1.11728816136957	0.844137915020003	0.967866147927764	0.888271173236781	0.895062724840882	0.895507609695316	0.895322696041546	0.894951210584306	0.89596517463627	0.897574942518763	1.00555502950011	1.09481265450216	0.922206170244189	0.923060584754204	1.0286795648278	0.922729881292005	1.02790068849042	1.22904744367009	1.05884411116757	0.941477390587626
MLL2	1.17921993187951	1.27722403919323	1.07965135982377	0.899697740044275	0.859769540825702	0.991700114868166	0.926926962030062	0.879772935118508	0.974227026042974	NA	1.04547924861615	0.92485915602354	0.929903307562882	1.05243259604594	0.981267592437396	1.03714903694196	1.02584406893702	0.904180452684282	0.975413320044556	0.986694119693748	0.869225974051985	0.987546172949871	0.871281095419026	0.937362995960273	0.87391383912514	0.886624403133837	0.959903731095187	0.889106892469506	0.961479866093989	0.973358317459441	1.04747900777175	1.04859667359667	0.89918186466678	0.859079875761096	0.860142230912359	0.989915497550524	0.989061454552827	0.905119532846122	0.905593066474502	1.06889456681798	0.917872944118496	0.918161723701966	1.03629145454754	0.929889582067685	1.03553389991298	0.930640507277501	0.931885371282517	0.879055020685922	0.949554162101504	0.950652765740895
