	BAP1_loss	CDKN2A_loss	PTEN_loss	PIK3CA	TP53	CDKN1B_loss	ERBB2_gain	CCNE1_gain	IGF1R_gain	CDH1	MAP3K1	GATA3	MLL3	PTEN	NCOR1	MAP2K4	MACF1	ARID1A	CBFB	RUNX1	TBX3	NF1	RB1	NOTCH2	MLL2	AKAP9	ANK3	ERBB2	CTCF	ATM	MGA	APC	FOXA1	MTOR	MYH9	SETD2	ASPM	CHD4	KALRN	MLL	AHNAK	SVEP1	PIK3R1	BRCA1	FBXW7	MED23	MYH14	SF3B1	BRCA2	MLLT4
BAP1_loss	NA	1.85197233139007	1.72109018348175	1.19793203299816	1.75448114258167	1.41179490878492	1.23762512416076	1.34627410531496	1.34575306857849	0.772846860465242	0.710254191640627	0.890761330355796	0.871540744345191	0.965132118210302	1.06150267814827	0.916484398354697	1.10392654761877	1.04738981307896	0.72802329066735	0.734509049731629	0.74118560415553	1.00477862485823	0.959089203687437	0.901661628323976	1.16400487745904	1.16166134056035	0.969265476158804	0.77182504964613	0.674546602745766	1.14322300950811	0.886457543919865	0.886728005140746	0.737731417688264	0.960610139813548	0.849881282389951	0.956941791618953	0.742997173409891	0.924400170592394	0.947914379518247	0.949723994393172	1.00802648415755	0.841435102016012	0.908584217170009	1.14218033401466	1.07516872035248	0.862983328633721	1.00372285222491	0.788862824947892	1.00544755433608	0.886491087112335
CDKN2A_loss	1.85197233139007	NA	1.72233432925739	1.09171444583492	1.59326854087062	1.41741132671006	1.33463176566463	1.28522644819462	1.3320329877948	0.695077146482844	0.859104175612446	1.07075638051036	1.02704401302583	1.00010897800605	0.944813532804154	0.731123992432868	1.0095664594106	0.817373068364541	0.89734006649602	0.868109149041839	0.838247531360639	0.839539976575966	0.88241848137572	0.815238000154692	1.06747943874517	0.780168557909274	0.926898691837254	0.975563330472285	0.738237887283476	0.892888022292598	0.791223572175648	0.792284472352601	0.69331128244264	0.857537333642697	0.748975857022547	0.642445669740851	0.643386780924112	0.875412323862892	0.893648903302383	0.770663463759985	0.771960829362511	0.914290506448583	0.719230653264926	1.00615605786614	0.796919446965579	0.658101849295182	0.937982654857798	0.799619080109007	0.871713987546493	1.19568236649868
PTEN_loss	1.72109018348175	1.72233432925739	NA	0.978646575796464	1.58911196579031	1.38448275181405	1.17356928130408	1.28577891286672	1.23759265252939	0.784543538974899	0.750576817461953	0.900144943628577	0.834519294368542	1.27669742392395	0.943473881186757	0.776055542696773	1.03334267123211	1.00239513576765	0.744413304110193	0.826100078310897	0.833988864891234	0.914962586694148	0.952488201822313	1.06865451183128	1.04460678394756	0.998381841777278	0.910605934441849	0.729817366111267	0.734325595542441	0.925030313094768	0.923995822870471	0.83285389991047	0.892567123223324	0.941124052000542	0.742937551434756	0.743628194079125	0.892294912006019	1.01057424674395	0.924170115995053	0.979849729124575	0.926055124542674	0.943875883151574	0.764721196596656	1.03157960636541	1.155132623109	0.773505976317156	0.901167425418318	1.15585278236133	1.03130801344099	0.854213041184707
PIK3CA	1.19793203299816	1.09171444583492	0.978646575796464	NA	0.969961448860139	1.01768754265791	0.940782434586595	0.920326994421849	0.791983552231569	1.13018189270078	0.995859985949343	0.855055682455329	1.05096921952786	0.887076823674036	1.00772759507671	1.11829289902231	0.927842112919313	0.775638447087271	1.06940826651576	0.951875145193678	0.893290186865161	0.964874157334582	0.823048711246149	0.951631501448026	0.965790877355785	0.84484242024182	0.845106024629403	1.00386775397262	0.89479178846443	0.896111829111004	0.937777511625	0.855795869622953	0.952050943578077	0.863456875941816	0.863403118613333	0.909568352355297	0.777798015855559	0.971349289146281	0.987497602179688	0.886605623381557	0.888461305248428	1.05822415279913	0.848930621952112	0.860960215162273	0.91835815482339	1.03264220703637	0.861007657816927	0.85954902453431	1.0296272144167	0.875652245417729
TP53	1.75448114258167	1.59326854087062	1.58911196579031	0.969961448860139	NA	1.39030691989206	0.931495280143359	1.26398995566691	1.17100651491049	0.687678668882586	0.713537595210814	0.6897286028589	0.838629046373891	0.863160932936943	0.852396787595301	0.744466266285171	1.10064899770626	0.700104594355773	0.772678466040857	0.885316276589679	0.857306073740718	0.820566581384289	1.0048303718254	0.916943463239994	0.926408837063122	0.97150980581364	0.929839250128588	0.843037243440375	0.716593891551782	0.808738538636744	0.809977347852114	0.810757957826589	0.768617056335164	0.862846903294954	0.770664342763126	0.818672461872213	0.86537167789375	0.923128657185346	0.729120189190908	0.835549971147317	0.941714402644969	0.9601872985427	0.903909489375272	1.09974082600629	0.982705600379828	0.737960594743724	1.09784236840914	0.738547612532198	0.861158894048131	0.876650339618951
CDKN1B_loss	1.41179490878492	1.41741132671006	1.38448275181405	1.01768754265791	1.39030691989206	NA	1.07135441484148	1.17127262739666	1.12723247449689	0.87570971118179	0.868411224900151	0.851440310806738	0.889727189021783	0.837549665001677	0.869186318909128	0.898096721866366	0.907064308233246	0.907290561811283	0.907087263590486	0.913332954045911	0.951088499900929	0.888705300558793	0.982719322138932	0.934638204780998	0.871128835711424	1.08440281340489	0.944028939023871	0.943353303621063	0.915149846206273	0.840309662440675	0.952728389077935	0.953676686614498	0.88389410897943	0.883979453709102	0.885920091665524	0.925284281644301	0.887085834839308	0.975128959779183	0.945448920588042	0.900422704883205	0.945174773369643	0.910595114310504	0.956391630862475	1.02079304779033	1.02066300852312	0.920528049630894	0.971698610635101	0.971304366129938	0.87116725404319	0.988612526626056
ERBB2_gain	1.23762512416076	1.33463176566463	1.17356928130408	0.940782434586595	0.931495280143359	1.07135441484148	NA	1.12329972238266	1.03885394776066	0.841991380419972	0.932748508281836	0.960201577597562	0.859780396585022	0.916917987311217	0.905028852857084	0.908476964544816	0.845080035647936	0.989929929903842	0.938303168192617	0.88779661586008	0.891878292097458	0.819597110867528	0.921929573721507	0.837530497201775	0.905932311593852	0.874631711631265	0.841742042363947	0.939456923986431	0.842584438483549	0.945909300271178	0.845032524582596	0.846876828892736	0.951108814896282	0.917426680123681	0.8479425315449	0.849681480228217	0.832397739605554	0.850031996310579	0.852653187392436	1.00924469956703	0.854192180711588	0.855107482185009	0.856874684206415	0.835633547700967	0.859278614143864	0.905031119890335	0.950446770842607	0.904902267163326	0.859842813380391	0.960508862510337
CCNE1_gain	1.34627410531496	1.28522644819462	1.28577891286672	0.920326994421849	1.26398995566691	1.17127262739666	1.12329972238266	NA	1.03303671190087	0.872301291835116	0.936885632242052	0.85238051132204	0.929088562005706	0.999938400455837	0.865242635837357	0.867968577082521	0.943028215213011	0.888708038348664	0.862755570287428	0.892038683504892	0.896523894680222	0.954472659950073	0.897664682222185	0.873847590025782	0.909995795604983	1.00457248848323	0.91118966267677	0.974394824312846	0.829714951184704	0.915711899203746	0.916573138443113	0.918127435134684	0.921442321937151	0.886303917459568	0.923261364859299	0.923512912788847	0.855693547373522	0.928903579341656	0.857123705716678	0.936647942869872	0.936340369855134	0.985549325027213	0.944517740222947	0.908904224877967	0.953611361351246	0.864017056052956	0.864283504500637	0.840638551283838	0.84184529910882	0.868618380755702
IGF1R_gain	1.34575306857849	1.3320329877948	1.23759265252939	0.791983552231569	1.17100651491049	1.12723247449689	1.03885394776066	1.03303671190087	NA	0.761113466770247	0.880111188015822	1.03453186846158	0.870975496808441	0.901631710209271	0.990135469114033	0.867875950328054	0.872862055106506	0.934393888846567	0.858727299235544	0.886111666978436	0.84719371899299	0.969925240836413	0.891157793654596	0.895572303849392	0.899391739170758	0.929695380983299	0.930073854499508	0.869732799193049	0.902221938925559	0.965214616094476	0.904242849012601	0.935986527251378	0.855730276771114	0.873021840058801	0.90856696132828	0.941542731549558	0.91028948925148	0.877616841529012	0.988594791881533	0.91650547309125	0.953426468740517	0.882588365012998	0.883697101726719	0.927907951512374	0.968660418088901	0.927949556844236	0.88595068693564	1.00951805315582	0.928174416477055	0.934622889946577
CDH1	0.772846860465242	0.695077146482844	0.784543538974899	1.13018189270078	0.687678668882586	0.87570971118179	0.841991380419972	0.872301291835116	0.761113466770247	NA	0.879820385571486	0.885793564933399	0.96647075453456	0.98706847278092	0.941644379834478	0.92453473413818	0.929567261628657	0.941677908128646	0.942063214497963	1.05332418099963	1.03901071953338	0.97165577814129	0.902529704550466	0.955046797139682	0.892582974906618	0.933882174439686	0.893689988433159	1.05851686968634	0.893417720619088	0.894439606719973	1.01509976505382	0.9122887237306	1.02249762841047	0.895084532940113	1.02280023330491	0.995789425403583	0.942647571371729	1.0017915449218	0.978379704179619	0.916266551684778	0.979176381963626	0.900660949647542	0.91974893523044	0.902698947534215	0.921517584325459	0.991979683190953	0.921365989120596	0.921792441508743	0.922488337894981	0.962979860637083
