	CDKN2A_loss	TP53	FBXW7_loss	PTEN_loss	STK11_loss	CDK6_gain	EGFR_gain	CDKN2A	MLL2	KEAP1	PIK3CA	NOTCH1	NFE2L2	FN1	RB1	PTEN	NF1	ARID1A	ARID1B	SETD2	CCAR1	GATA3	TBX3	CLASP2	EGFR	HLA-A	TAOK2	ABL2	CHD3	CSDA	CTNNB1	DHX9	FGFR3	FOXP1	FUBP1	HRAS	ITSN1	MAP3K1	MKL1	MLL	MYB	PIP5K1A	RASA1	RGS3	SF3B1	SMAD4	SYNCRIP	WIPF1	WT1	ZC3H11A
CDKN2A_loss	NA	2.53338296257371	2.49093619862002	2.34908676347534	2.21227408557751	2.05787946574477	1.85800132438645	1.76263780257629	1.68995537207458	1.3718384691761	1.45157161850405	1.23685898964101	1.51933005355713	1.36649879626178	1.20363752181934	1.59640398142875	1.39151554404145	1.19811494083927	1.5224662109436	1.53036199301577	1.16068484044126	1.50728325728326	1.51853892440102	0.785642867918174	1.15248985334513	1.15713610334973	1.13915513266138	1.50706103655455	1.50145424714744	1.49589098337822	1.50307276646975	1.50787618160281	1.48209843618523	0.539603983520333	1.49051546296382	1.02364254570928	1.51301050613641	1.49720469184225	1.02586904806387	1.48496482231468	1.48102652931825	1.51435592343507	1.02785682192601	1.47356844804183	1.50965788967903	1.5039571368539	1.51420630889905	1.49319815373493	1.50358851674641	1.50226305013921
TP53	2.53338296257371	NA	2.29250234767861	2.16929013166765	1.92430184132085	1.89849051404137	1.73299685325416	1.48220810987322	1.48263662135349	1.38540644737051	1.16366455922701	1.15498707756449	1.61147538179179	1.24876160246237	1.4630186260085	1.31159121613886	1.21026834477817	1.04386369699778	1.5172327835382	1.51154647400381	1.49907608993944	1.49950037883363	1.17269985331531	1.17697141698763	0.844201108074785	1.16718367942776	1.15882946810782	1.04520284588315	1.05835117773019	1.49553336836574	1.47873536164776	1.04277524123698	1.04336943798579	1.48895709679606	1.47293672084583	1.49595537774144	1.4751817894404	1.49637765833139	1.46988779482482	1.05140152319885	1.49146787477809	1.49630725938764	0.609811220420101	1.0471824060148	1.48451718115236	1.47818738776804	1.4922369819599	1.49314709224956	1.50831269897418	1.05364346338787
FBXW7_loss	2.49093619862002	2.29250234767861	NA	2.19482951018733	1.96764535812651	1.78519059605394	1.70860120757228	1.3335109178991	1.40188273741488	1.42615452316945	1.0079638851938	0.913528737915202	1.55844055576246	0.940054679002339	1.37925697296023	1.48884700908393	1.59740624298226	0.745533808914091	1.03967810002837	1.55393963628777	1.21073717017648	1.55061562472904	1.21692354468274	0.889040628200751	0.887856197760351	1.21067631612655	0.88566411300438	0.671230094949725	1.52255245744019	1.10286578660706	1.09574228429827	1.53453984928066	1.08982441868348	1.10507028839983	1.51975169300226	1.10164592505525	0.445483297906205	1.53556736372986	1.10096431220638	1.10916614228782	1.09545403363667	0.667699938800804	1.52399354509937	1.10271922036628	1.09921654911476	0.665361912604922	1.49812780828757	1.53197823485841	1.54615761276571	1.53498001142204
PTEN_loss	2.34908676347534	2.16929013166765	2.19482951018733	NA	1.61570973956812	1.5731342604973	1.74123617957126	1.37106936653632	1.37339902211369	1.24155422042746	1.07864098342579	0.979354993516711	1.47226241370315	1.34580368435864	1.30334904212334	1.61674003290292	1.3012013089881	0.824539050617712	1.08085349901897	0.584469725507923	1.25928586406424	1.25873720146184	1.26498042436219	0.954072673240578	0.960273032933131	1.24710663486174	0.964871605341493	1.13739821928562	0.753052130846468	0.753278356726633	0.747917839420506	1.13863263491081	0.75038180210594	1.13564825005503	1.14826014341608	1.14496032298483	0.749639427337845	1.53206216025238	1.14757851392047	1.150214141165	1.14433260255882	1.14670385480441	1.14341695984112	1.14913825116116	1.13987095715232	0.75140083581642	1.15797765953432	1.54245137388083	1.52679417091773	1.53370924246139
STK11_loss	2.21227408557751	1.92430184132085	1.96764535812651	1.61570973956812	NA	1.44114690459451	1.37035616920133	1.2382339436284	1.17610595611958	1.29301540814612	0.863423067424055	0.77376215399998	1.02575425346165	0.626091540747538	1.23391974859854	1.17485613763082	0.889832330180568	0.894985172528919	1.35854850744855	0.903793010227836	1.01284079277938	1.01079116681809	1.29201031088503	1.28899303052151	1.02153752816779	1.28651120746926	1.01997102323798	1.1855627560066	1.5334232941882	1.18600088089019	0.826894792694506	1.18972187208575	0.637748744517062	0.637538374788547	1.19858836879786	0.819960169796038	1.18682989964316	0.826843963489926	1.19253781706253	1.18347679165422	0.828170049007093	1.19462671107094	1.18726956113205	0.827914299404477	0.634832426445308	1.54806007612217	0.822846970720029	0.822449505169052	1.19134950371393	1.17843335472181
CDK6_gain	2.05787946574477	1.89849051404137	1.78519059605394	1.5731342604973	1.44114690459451	NA	1.69106908050415	1.56117335837268	1.41558239096964	0.859765892748921	0.673011198547542	0.686797525293649	1.27613223074071	1.13643849433049	0.739043129221144	1.00745451466269	1.10662170378544	0.969141924419926	1.3886771910724	0.653922415102198	1.56499587701732	1.07379411467287	1.07719128575792	0.823831680130893	0.82427135786761	0.82011774689721	0.826029899520674	0.900682150682151	0.902665305260193	1.23273384248994	1.56882686849574	0.900733363671369	0.732849862798902	0.905856342593909	1.55496178261433	0.905803539697207	1.23936218117354	0.900094333030536	1.23025067085542	0.732311390576338	0.732593668009356	1.22330763947188	0.897186147186147	0.901143636223442	1.23998557676341	1.2418105222093	0.901709416712892	0.896685570040458	1.55617168651257	1.55822024645141
EGFR_gain	1.85800132438645	1.73299685325416	1.70860120757228	1.74123617957126	1.37035616920133	1.69106908050415	NA	1.29881590590601	1.24120560780167	0.996417098157536	0.917743467298033	0.841092190790076	0.964090608472464	1.26543735777473	0.806033277321369	0.945088742788046	1.01664784392627	1.1464949423665	1.21330233737621	0.723206810960594	1.34299907601713	1.11566780684428	1.11544916823669	0.757891730620826	1.11421826309299	0.880650340662307	0.87986611409617	0.949833385400396	0.793116961493546	1.27192613332902	1.25516117348787	0.956245863600482	0.796555867040449	1.26385893729067	0.957621541821172	0.7920032373037	1.26006286562473	0.956163706514461	0.951444883239511	0.793171037672978	0.796796162453976	1.24281887338645	0.95518118245391	0.954800757708039	0.953718936362055	0.797850608402167	1.25752306123578	1.55977542932629	1.26171450098958	1.5533959744348
CDKN2A	1.76263780257629	1.48220810987322	1.3335109178991	1.37106936653632	1.2382339436284	1.56117335837268	1.29881590590601	NA	1.29837050398468	0.940675043766054	0.906367674415414	0.829849244626146	1.1900935859518	1.12462434987015	0.795980976648004	0.867888936691267	1.01945501386257	0.902026779118745	1.13079417185416	0.967327038980682	1.00876426685911	0.900673400673401	0.901195578614933	0.905362855487544	0.9040300450925	1.00327537840254	0.905087140838436	1.06706366303523	1.06647466286753	0.937682816681996	0.936028072760011	0.938200284480822	0.936478607210315	0.937352245862884	1.07101296201392	0.935884543533269	1.06520202699125	1.06937630161431	1.07176703605275	0.937904102653486	0.934835507105314	0.935687695924765	1.06527049437497	0.937462255644074	0.935047526200341	1.06465561043026	0.935705567054078	0.935402411208863	1.06286223987343	0.937078007514921
MLL2	1.68995537207458	1.48263662135349	1.40188273741488	1.37339902211369	1.17610595611958	1.41558239096964	1.24120560780167	1.29837050398468	NA	1.08924882719744	0.991385925756697	0.783611321892047	1.10367361241799	0.846394833236938	0.79531888625038	0.866369116829109	0.897376385474888	1.12545573594845	0.966037027770828	0.964360783724946	1.20431552821637	1.00322310409718	0.902906454755583	0.904310484524388	1.00875833032142	1.0026502092513	0.905055423184502	0.93531351120337	0.936117936117936	0.935438004677047	0.936841238471673	0.93531351120337	1.07047699830356	0.934308426843751	0.933924572680554	0.935616259525791	0.937169295790925	0.934906104429404	1.06877664320412	1.06475788480619	0.938126117138463	1.06394198809929	1.06602607327489	1.30865438850332	1.0617583472974	0.937242415983217	0.935420205550599	0.933542956734051	1.06269436007889	0.937023294166151
KEAP1	1.3718384691761	1.38540644737051	1.42615452316945	1.24155422042746	1.29301540814612	0.859765892748921	0.996417098157536	0.940675043766054	1.08924882719744	NA	0.941565195075335	0.820868961411448	0.867733011073869	0.977661435304407	1.08484501635971	1.0071334033564	0.92982671992492	1.04466493374754	0.995839833593344	0.991491111532865	1.03194044188281	0.932315793641367	1.03064183878137	1.0279201297676	0.933814316960778	1.02806900341569	1.19414491361056	1.30460966788483	0.96419714817111	1.0856348743342	1.08460009161271	0.961597081419567	0.964465248948008	0.96372127949247	0.963286713286713	0.962911321807027	1.08761861034588	0.960887152063623	1.08445300222282	1.08321010257494	1.29523495827844	1.07994704145025	0.963664421997755	0.963759213759214	0.963286713286713	0.965063070221491	0.963930208362624	1.30426049377474	0.963892168437623	0.96326788885626
