	CDKN2A_loss	TP53	EGFR_gain	KRAS	MDM2_gain	CDK4_gain	STK11	KEAP1	NF1	EGFR	MGA	SETD2	FAT1	BRAF	SVEP1	KDR	LPHN2	SMARCA4	ARID1A	MLL3	BAZ2B	RB1	MLL	CREBBP	MMP2	U2AF1	DNMT3A	NTRK2	SMAD4	CDKN2A	CTNNB1	MAP3K4	ACTG2	CIC	EIF2C3	FN1	NUP98	PRRX1	PTGS1	TCF4	TAOK2	COL1A1	CUL3	IRS2	MAP4K3	MET	NUP107	PCSK6	SYNCRIP	TFDP1
CDKN2A_loss	NA	1.6648539643057	1.65332478056327	1.21336376126711	1.30767792236471	1.29994948124424	1.16987125618854	1.26559594433926	1.22538840208648	1.15539972335801	1.12470036373845	0.74327339599337	1.02301589393552	0.69748655106733	1.10100659614886	1.03422128667196	0.999034176580269	1.25267653211318	1.18371161029574	1.18206250790348	0.934220730982153	0.787236825478932	0.981340118744699	1.10441062667245	0.654440849723463	0.940797013294147	1.01336539554378	1.15417344512577	1.15491880740926	1.41110567317736	0.789856212274725	0.955626695233483	1.23205423903983	1.04941846111673	1.24551930466098	0.868805014424467	0.872040979227813	0.688454598865181	1.2329525085039	1.22521860413462	0.686868812005367	0.761436678848607	0.761323632428654	0.978309490632043	0.762570368965819	1.19255761454623	1.41287925304135	0.763524370249474	0.760351029284457	1.18806380008472
TP53	1.6648539643057	NA	1.48278076259209	0.896151751163401	1.15532628475049	1.16040043532887	0.753094591614774	0.976820002819996	1.24942072310115	1.08357764175638	1.08220773171868	0.873030668674426	1.059176079464	0.773052248519896	0.94890471832705	1.00269393657046	1.25921394521235	1.00038154092496	1.05913128110835	0.936376627850997	0.954588789204265	1.30141884609171	0.911653431319184	0.983378264246834	1.08173947565132	0.929550183408624	0.864049524018705	1.20481205706452	0.744781459963189	1.04224527545896	0.916580365020152	1.04235912373838	0.975649821238767	1.12856801606908	1.13356824490013	1.28360615911996	0.97968738919015	0.972992445666075	0.979702094618274	1.42520907263207	0.978249508284069	1.24481859696376	1.24075586713475	1.06612898179041	1.41839585514489	0.603730540781919	1.24958966805888	0.887080319876447	1.23828672507464	0.700350346411573
EGFR_gain	1.65332478056327	1.48278076259209	NA	0.907168003023889	1.20637582480714	1.2144645888772	0.811166432472336	0.978134372625499	1.08310515305794	1.24156527000423	0.870762441104159	0.803198559042958	1.08392999581906	0.800719808147061	0.917197653144912	0.972706899455535	0.937321781201427	1.08322084337178	0.900100193406124	0.774957470471809	0.831189994047535	1.09440937059499	0.937500510196155	0.727176128609295	1.10202939246231	1.06170165538912	0.772362696065528	1.11291931792078	0.651551531376753	0.804743763961811	0.804932327149755	0.806275135118468	0.848832832907265	1.00239974153088	1.15246913374817	1.15144634382579	0.849786048540964	1.00025536098955	1.14961011683501	0.84459665419762	0.697885395219966	1.08978496496764	0.907135033759576	0.90858829581438	0.905538724743224	1.08087395564104	1.08620162070303	0.727328433428897	1.08586284540301	0.906723997259365
KRAS	1.21336376126711	0.896151751163401	0.907168003023889	NA	0.975368600505426	1.05500824135478	1.16978596753481	1.02081123153565	0.6386323255567	0.639980301441865	0.872490481310634	0.835468723942054	0.895479290846438	0.761246394875153	1.11503420806946	0.970194115193578	0.988889738403773	0.775863465871142	1.00828407009621	0.839801736970474	0.814658582286636	0.819477897742192	0.826726109814219	0.854217755927699	0.938430747897396	0.96239819908658	1.09432049443822	0.995724829557685	0.89090460460505	0.921593323518315	0.74500094886025	1.1515448749387	0.82711506544116	0.826281418048015	1.21547578529637	0.961344750606518	1.21990604815032	0.960602046727936	0.954731912925264	0.959151693056781	0.957113258450165	0.853875394259092	0.85311029847293	1.00971461543555	1.15797207590397	1.00433433511346	1.00865480354362	1.16514752692343	1.00965113731474	1.01122996495117
MDM2_gain	1.30767792236471	1.15532628475049	1.20637582480714	0.975368600505426	NA	1.61962573496041	0.995970612070691	1.04187529151777	0.936655775475646	0.81640242708945	0.875443005537805	0.917786207029342	0.735737564364249	0.855846421605614	0.95955906504973	0.75045258178548	0.973927027802889	1.24550950129951	0.934117084829559	0.879390328962974	0.853696409161733	1.00201388767405	0.794746930789178	0.809373104054042	0.975464852314697	0.908443069053579	0.776480343297744	0.828396017073525	0.77575742422808	0.845158590161325	0.785769471468942	0.845542468454246	0.863031190479941	1.11852505186438	1.11705205528231	0.866100386013457	0.993016750958145	0.864597094771167	0.864852495716071	0.993299695474506	0.867100927696582	1.18779905103138	0.890621163110744	0.890205294711455	1.0427750902852	0.892192586873621	0.890551691379149	1.04204517576451	1.03883818051283	0.81296382574023
CDK4_gain	1.29994948124424	1.16040043532887	1.2144645888772	1.05500824135478	1.61962573496041	NA	1.0022605258667	1.07431917208824	0.974553562121025	0.783093119104315	0.953868353216278	0.921926187666278	0.891492442820862	0.859322508305813	1.01022381873446	0.754369132342896	0.868049304530855	1.24937149671466	0.937891863883256	0.936541684235006	0.856909635434259	0.934963486934175	0.797862568265788	0.895755971472801	0.976612804081125	0.910391019392047	0.779753367158105	0.93392110348645	0.779704001757093	0.789405446650565	0.789580932668298	0.961260248227169	0.997781813710188	1.12059021841212	1.24078292880219	0.800793705692947	0.994691173084801	0.99894312648311	0.801082539428747	1.11952834287438	0.996106171278861	1.19259452943535	0.893507530238559	0.894049431884737	0.894524627515003	1.04026093377318	0.894445218955181	0.894666005843259	0.893988052436281	0.895502006581769
STK11	1.16987125618854	0.753094591614774	0.811166432472336	1.16978596753481	0.995970612070691	1.0022605258667	NA	1.09973632645189	0.81406787279059	0.739061662715463	0.848960509406496	0.769548511534259	0.88998765359016	0.906800246271912	1.00520815285781	0.956833789756715	0.860615934837936	0.97960177400255	0.817009187026708	0.872788830618842	0.805513373402158	0.838838439051838	0.847564051943494	0.861815573663218	0.821086616774042	0.821186427494418	1.06400828886715	0.973600105709691	0.971789094261015	0.893968082944149	0.893619624879607	0.997838182441691	1.03403010629949	0.851051026281644	0.851321424021793	0.851082922370783	1.03172007617251	0.912919966355081	0.911373105961717	0.911279432441574	0.853000348075841	0.864851909027691	0.864564803831138	0.864661866973646	0.86472996996518	0.936980199971095	0.936836523620022	0.936312237015186	0.936760017378638	1.20964250456092
KEAP1	1.26559594433926	0.976820002819996	0.978134372625499	1.02081123153565	1.04187529151777	1.07431917208824	1.09973632645189	NA	0.967164915340118	0.803271902799391	0.936080138259301	0.933019702146662	0.897320095193074	0.914709067314424	0.964915919021762	1.016897786079	0.976014813206994	1.09494237314757	0.989207686233219	0.822636369918063	0.909737565101583	0.985875019302273	0.921987649263647	0.945264215426844	0.86735359121456	0.961198132594502	0.886726273318994	0.884457985065048	0.835260105491213	0.900789488999771	1.1074978621247	1.20804635820418	1.04072320136894	0.919395484501392	1.15732317852823	1.15121502628624	1.03971847566436	0.920072660378299	1.04199837496653	0.920339698358519	0.85881736576655	1.0886656692986	1.08406127856037	0.945661272708122	0.944026202366807	1.09065899485034	0.943679190299515	0.870293374089625	0.943475853905949	0.94421060141257
NF1	1.22538840208648	1.24942072310115	1.08310515305794	0.6386323255567	0.936655775475646	0.974553562121025	0.81406787279059	0.967164915340118	NA	0.833999044706006	0.925440889462746	0.953095228576679	0.964273901171954	0.875288581461792	0.977550916486843	1.02812845532066	0.877910032117435	0.993773643057127	0.943802555898506	0.996611388046355	1.0245184437061	0.975038943781431	0.977817167738496	0.891132755283906	0.929665772849993	0.934604997147517	0.900428342386753	0.946211373629905	0.899918179447756	0.90837174789752	0.95927750551625	0.907871782474327	0.975490180801405	0.918022842256635	0.976979823622549	0.919066149813082	0.974729562527892	1.08352781165465	0.975534731514957	0.975205915393314	1.07696862813101	1.34332828001537	1.23198670263977	0.931329983329117	0.996551398723252	0.996305945714237	1.11923598738088	0.931519819871437	0.932643143963335	1.12065216172893
EGFR	1.15539972335801	1.08357764175638	1.24156527000423	0.639980301441865	0.81640242708945	0.783093119104315	0.739061662715463	0.803271902799391	0.833999044706006	NA	0.901384727558315	0.886171077432217	0.884036696627809	0.867420353030693	0.893717523155788	0.870444917360205	0.947301468407312	0.873175898716483	0.906759251118402	0.879695489622278	0.926039278708671	0.985157044091465	0.901743870417354	1.0056597017221	0.909929756882815	0.910893908270993	0.917740290528948	0.959496298676359	0.917644174659035	0.925599437823379	0.969634486383337	0.971783912515747	0.935034911593185	0.93518539375718	0.934902386517245	1.07756368074754	0.9352977736697	0.9350434860161	0.985864811450914	0.934830012070343	0.93626200276125	0.945102807190347	0.94624488888854	1.00234819614069	1.003795846386	0.945653719693537	1.00355571541026	1.00167154329344	1.00266162402878	0.945487877069173
MGA	1.12470036373845	1.08220773171868	0.870762441104159	0.872490481310634	0.875443005537805	0.953868353216278	0.848960509406496	0.936080138259301	0.925440889462746	0.901384727558315	NA	0.869189087329477	0.990753280734039	0.954912330261697	1.00300962007737	0.876954755169025	0.90479419906755	0.967331125316819	0.914985925872673	1.02001661761367	0.934360608455351	1.06234160747324	0.940890023695714	1.01953300404131	0.953101908419482	0.959557761383683	0.968777743169663	0.968469963491537	0.968475976520038	0.932839198501688	0.933716437899063	0.93294907039794	1.09643056626859	0.996038031953015	0.995300162013049	0.942645839632128	0.996545901249415	0.942723044123346	0.995790893958393	1.09724478668239	0.99802889457113	1.01641495708872	1.01584980143159	1.1317611269848	0.955495684278801	1.01453377975828	0.955729483391402	0.953913657357759	1.01549417228743	1.01685980099732
SETD2	0.74327339599337	0.873030668674426	0.803198559042958	0.835468723942054	0.917786207029342	0.921926187666278	0.769548511534259	0.933019702146662	0.953095228576679	0.886171077432217	0.869189087329477	NA	0.887901994945433	1.07268568262395	0.925657913669515	1.02649915930892	0.898627771719375	0.989150764658836	0.937578883589956	0.990809490693995	1.01139740032455	0.922799702730254	1.01766283006833	0.938578530541151	0.973562382600394	1.05328117501109	0.946146561161146	0.947193517859432	0.989289787818077	0.953477189397127	0.953988750982123	1.00022001568808	0.961771299192341	0.963198906878032	1.01293701519229	0.961821708101542	0.962968978398571	0.962746931536754	0.961967911588136	0.962555671609515	1.01300478030811	1.03066258022233	0.973465189377722	0.97327723850226	0.973956490234737	0.973741507305685	1.02921105011046	0.973331930317335	0.974799757229683	0.975786772359155
