	CDKN2A_loss	TP53	EGFR_gain	MLL2	CCNE1_gain	ARID1A	ERBB2_gain	MDM2_gain	MLL3	RB1	EP300	CDKN1A	FGFR3_gain	FGFR3	ELF3	FAT1	ERBB3	ERCC2	MGA	AHNAK	TSC1	ANK3	ARHGAP35	FBXW7	NFE2L2	CDKN2A	TRIO	CAD	AFF4	HRAS	NCOR2	HSP90AA1	TXNIP	APC	CDK12	CEP290	CLASP2	CNOT1	DDX5	DICER1	IREB2	LIMA1	NUP98	PTEN	SETD2	CDKN1B	CHD9	KEAP1	MECOM	ZFP36L2
CDKN2A_loss	NA	1.35547827667907	1.50918585178461	1.20141085227268	1.38878980821539	1.02698270496642	1.4444652785532	1.49335409398357	1.01897136031186	0.4676976947544	0.787393272152264	0.923448764495409	1.36961844104164	1.2872714645036	0.875344910104417	1.13016423224298	1.25502370827383	0.823620469663178	0.941381981973311	0.876667332337123	1.42153666557522	0.927745280492577	1.17124735473289	1.25471242453224	1.51183336797287	1.36961590990983	1.3386758591279	0.827483039062829	0.705585065573182	1.10818129315297	1.30701481134148	0.907445305969504	0.706973419311557	0.787539936934417	1.47883347070713	1.0239353299415	1.26081413008831	1.48219136968367	1.02937597775074	1.02413082883204	1.02523252450762	0.785391192147841	1.01030193484048	1.02486491203828	1.26364765483276	0.422491515532799	1.24465443079208	1.0218407832257	1.25545027721814	1.0251735686887
TP53	1.35547827667907	NA	1.42396637648333	0.892800898004591	1.21618858924957	1.04005116451097	0.832889436311708	0.935739600632294	0.956617732370712	1.28683232400842	1.00173763431632	0.784109637808309	1.09278914379309	0.799734064836048	0.811283073626378	0.774221762105868	1.09122901119609	1.25631714029097	0.827010034668407	0.861760408858454	0.778532405467085	0.993777347512477	0.994527185774729	0.930504319560023	0.855662962321616	1.22414932591696	0.910872272196932	1.04945759963273	1.28992048576179	0.976009216420344	0.63968824442434	0.814906496519777	1.13647723797572	1.06776357374168	0.573165515004765	1.06466810196967	1.25643739258658	0.875292343970466	1.06610417446331	1.06319670725433	0.677345537757437	1.25305629405135	1.26028139179414	0.876171179692183	1.25944615603042	1.25373441198895	0.680816106994267	1.25750380072791	0.879240220219064	0.87790542345712
EGFR_gain	1.50918585178461	1.42396637648333	NA	0.918168984773283	1.32202729315631	1.12353616520362	1.01091200535543	1.25485902533579	0.831253544901407	0.991086228264785	0.925785723394458	1.03152151754624	0.90889727335476	0.755329444624922	0.768324347376687	0.62435282545748	1.0189952685232	1.103286884374	0.750342919166498	0.867770642637523	1.09965255946128	0.888685217955316	0.782168584986179	1.03063665985403	0.695472276491754	0.832097905970397	1.14883981391812	1.00794809208993	0.913771428452409	1.23166187855486	1.07595912859071	0.747750812288131	0.662386913341775	1.15589474521027	0.678416452186455	1.15884115884116	1.16258167830051	0.977253039617498	1.51612997679767	0.972025034653673	1.17146262557466	0.973420537934247	0.782472343528268	1.16541353383459	0.779408746753741	0.782873093410428	0.683951746409872	0.969323807950743	0.784736683145496	1.15586964988115
MLL2	1.20141085227268	0.892800898004591	0.918168984773283	NA	1.02336174210446	0.837631928516179	0.920161870372927	0.919538696066501	1.00926443018331	0.837357654416709	0.840699406566607	0.739214868224426	0.932166342317066	0.745873334752863	0.760543216932995	0.910406028195763	0.79311191233343	0.870278236994423	0.881974475266322	0.970004120674684	0.914454103526121	0.915801484778903	0.917053552602474	1.02566278665846	1.153364022486	0.968760156389536	1.00661254771249	0.903069039272847	0.807715346091381	0.938671828768862	1.06116373967409	0.813894131381398	0.812909667147152	0.98514752588015	0.9826821790127	0.835004410077061	0.836518519067854	1.12070407526439	1.11969371419536	0.981485244643139	0.982188879225676	1.12148464693697	1.11839915168577	1.11866898599216	0.835787773091779	0.840466075740132	0.981047230366628	0.763879928722241	0.980893385187752	0.839426111304829
CCNE1_gain	1.38878980821539	1.21618858924957	1.32202729315631	1.02336174210446	NA	0.946575132673131	1.15300025686	1.29384085895029	0.657560904280651	0.881156987185008	0.947445250973029	0.905401242566458	0.992217421723419	0.993528101675437	1.05864853441364	0.881677878907796	1.00284195895799	1.00251705792395	1.00528161948259	0.94082352162087	1.25945396614373	0.966234052656334	0.966836457562285	0.772561751512225	0.785214689208139	0.913408869956411	1.43103766331686	0.809554501854208	0.83187473339199	0.748664274459034	0.832540498027426	1.12801571004449	0.835537665324899	0.768923220929599	0.866937915324128	0.865709160538567	0.864527704231744	1.04225598962441	0.769229444898525	1.04057019316425	1.0427749040083	0.861311908001736	1.0423756028871	0.864270666402578	1.37034031106279	0.774230330672748	0.869591472334193	0.866386930499052	0.867222137091562	1.04006276101609
ARID1A	1.02698270496642	1.04005116451097	1.12353616520362	0.837631928516179	0.946575132673131	NA	1.17285590874377	0.881258483924507	0.84833658242137	0.983313197455037	0.927728869486415	0.950002853344635	0.961369815212396	0.826310077997753	1.02242388103349	0.784387607387337	1.10708028689016	0.873391539547742	0.887319798209314	0.905080736414619	0.995084781070467	0.909608580274215	0.824096049141421	0.928784736432576	0.950729497811127	0.79016042415789	0.797227120117872	0.80253738437852	1.01389553850779	0.881935418271016	0.812860124587997	0.88874718919227	0.88625118973952	0.82990985861408	1.19917355527911	0.829983546122925	0.91060607778874	0.830568111258738	1.05999249349326	0.909315315830232	0.830072155050427	1.0588911210759	0.91087262351295	1.05716411070014	0.910882160384276	1.05500566516733	0.911851198696904	0.835336352495935	0.913537854827671	0.913963351378889
ERBB2_gain	1.4444652785532	0.832889436311708	1.01091200535543	0.920161870372927	1.15300025686	1.17285590874377	NA	1.24407792665602	0.803211362522295	0.745643566785547	0.822610371429242	0.910489841385633	0.919050816333659	0.92270594012336	1.06051362786579	0.793573708101251	1.07418929550345	0.798929309318492	0.907167613339807	0.78801511976663	1.12304341567172	0.829529398796859	0.834834246293447	0.844609784012018	0.791530674452264	0.861901523775875	0.875377250013102	0.881162890552768	0.82121710385036	0.820114798345357	0.89990517398376	0.903964682480701	0.825335883969501	0.928943633129756	0.928883917316537	0.92992901134401	0.928824243553747	0.928597865972949	0.838604725725534	0.839098590119844	0.930742680658347	0.839233698949528	0.840191309709353	0.931490266328148	1.09920427985639	0.844488856885459	1.09338958255367	0.844549085056923	1.09520388000719	0.930060505080858
MDM2_gain	1.49335409398357	0.935739600632294	1.25485902533579	0.919538696066501	1.29384085895029	0.881258483924507	1.24407792665602	NA	0.802585686208434	0.745247342274261	1.01805611246795	1.11430173241555	0.993410756939297	0.997060774693819	0.854813607315882	0.875482450083225	1.07154050496999	1.07505927931337	1.06368773837972	0.836864046676494	1.21115761415979	0.931672855790175	0.935478648775048	0.843790774180025	0.791113175350374	0.977351370611544	1.25184958651701	1.01029948561377	0.819859749787937	1.180331104455	0.820182203045875	0.826750037435169	0.903756511335939	1.39426916068605	0.929880678455154	1.09767180829895	1.09901490207674	0.838713989425162	0.839697459831358	0.929182917777119	1.09423467389158	0.930426008153737	0.930158967326051	0.930086282676043	1.09835377637125	0.931500478353064	0.933822203198652	0.932364984010281	0.844724229895257	0.931546977345893
MLL3	1.01897136031186	0.956617732370712	0.831253544901407	1.00926443018331	0.657560904280651	0.84833658242137	0.803211362522295	0.802585686208434	NA	0.953791951585077	1.01396325105791	0.835511379980263	0.98391223228949	0.982807054482189	0.815397389178468	0.939643287876138	0.872616654784151	0.958468394977262	0.849428094529029	0.905152369426617	0.895347541289449	0.988155391983814	0.903417215654865	1.08828820517552	1.0237045795454	0.926055837934849	0.877646466455901	0.882769637486747	1.190097886225	0.89101720353691	0.891397827206958	0.896790713245207	0.959805402436393	0.980645876338649	0.908676555672977	0.909103780263344	0.985009360218357	0.982743667755833	0.981625221487934	0.908365919258449	0.908849523467464	1.11535288123117	0.980536559705418	0.981859854096207	0.907136261706899	0.982032213579648	0.912449527989983	0.912280701754386	0.98600710010106	0.98468418216369
RB1	0.4676976947544	1.28683232400842	0.991086228264785	0.837357654416709	0.881156987185008	0.983313197455037	0.745643566785547	0.745247342274261	0.953791951585077	NA	0.974102702968835	1.05430602299525	0.925451327914739	0.806487221721287	0.82485150161146	0.835468566036219	1.13081909136981	0.972183224163849	0.858447584795142	0.873070839585586	0.853668570944561	0.910323623334709	0.865165720307138	0.869864265839705	0.875506180484702	0.880720042847252	0.951042065879991	0.952869722535029	1.0957586699378	0.901571779939847	0.901598917078793	0.971287441905735	1.08849045691151	0.918023494161888	0.918140482671573	0.995705214074627	0.918775524807941	0.917790593827104	1.25592602494962	0.91848623105752	0.919127086007702	1.25622789735453	0.994327620436773	1.13673409475347	0.993016774796723	1.12373199461134	0.921505484552682	0.920569493180016	0.921829927743588	1.12646327105121
EP300	0.787393272152264	1.00173763431632	0.925785723394458	0.840699406566607	0.947445250973029	0.927728869486415	0.822610371429242	1.01805611246795	1.01396325105791	0.974102702968835	NA	0.922680249296087	0.849709369867303	0.854948028883134	0.937510665850206	1.02174551542653	0.888007080444031	1.05135215361346	0.906333824150487	0.919316760641466	0.911841797620073	1.15398258840949	0.870605516813181	0.874710054656173	0.881319247422107	0.886030620496006	0.89228617798158	0.955054853005753	1.28965264471704	1.08748330031787	0.905875350735482	0.973599319894258	1.08277341217669	1.12110570124981	0.923272771997581	0.994307660654276	1.12497776466556	0.922031581264409	0.921519231239315	0.921163517738208	0.993913697599672	1.12656459726966	0.995382786364013	1.2384955510672	1.12244897959184	1.11548405610009	0.925633193156446	0.994569837917889	0.99438306299632	0.925034285171154
CDKN1A	0.923448764495409	0.784109637808309	1.03152151754624	0.739214868224426	0.905401242566458	0.950002853344635	0.910489841385633	1.11430173241555	0.835511379980263	1.05430602299525	0.922680249296087	NA	0.94175343084718	1.02055262964695	0.834337499377583	0.889681136786693	0.988901328833729	0.896766456017344	0.992402475896085	0.882300450990007	1.01859755158191	1.01754580012691	0.925879326607263	0.93409529960979	0.885657020991291	0.950141347209968	0.8977214027435	1.07727868094614	0.983840357766963	1.11154076090413	0.980991178041198	0.91649347488251	0.982335340586151	1.27718535883435	1.0091832390683	0.929036787151656	1.00706115167234	0.929272333375812	1.00696681399356	0.929263896952422	1.15624486185841	1.0084425212576	0.92928077158677	1.14847909329789	0.927717090815947	1.14591328948777	0.931984193509759	0.932584947794073	0.932322913377539	0.931640741402944
FGFR3_gain	1.36961844104164	1.09278914379309	0.90889727335476	0.932166342317066	0.992217421723419	0.961369815212396	0.919050816333659	0.993410756939297	0.98391223228949	0.925451327914739	0.849709369867303	0.94175343084718	NA	1.25282564654425	0.875087314362074	1.05580329456792	0.998083633680696	0.999172689004064	0.912868875239451	1.00824010344938	1.03195676791296	1.0295171316256	1.02925933168805	1.04672309179489	0.950432151144018	1.06979974270524	0.968937939390386	0.90124784032298	0.988779426504021	0.912641172580375	0.988047343610899	0.914901361287035	0.9900179914823	0.929157163500879	1.0159507273881	0.930979932099753	0.929494424571502	1.0170060056642	1.01268623738918	0.930117936982926	0.930117936982926	1.01747308331102	1.01137079549471	0.930730508354406	0.93059144161682	0.933436310651783	1.01783705608228	0.931796704876946	1.01562648578402	1.01548595496722
FGFR3	1.2872714645036	0.799734064836048	0.755329444624922	0.745873334752863	0.993528101675437	0.826310077997753	0.92270594012336	0.997060774693819	0.982807054482189	0.806487221721287	0.854948028883134	1.02055262964695	1.25282564654425	NA	1.02821918149651	1.05205443897266	1.0866728154641	0.902221440540923	0.998050682261209	0.929382169755565	1.02831558122584	0.926368462068176	1.02658328260188	0.882755287781507	0.952461142880718	0.954254376619153	0.970537617836685	0.905906272064516	0.915306346533929	0.914948378512252	0.990676437835043	0.919926042314763	0.99131881549464	0.932704689901549	1.01180036808488	0.932640478307395	0.931385662939428	0.933408292293024	0.932202829974442	0.931599605205775	0.932723054320151	0.932202829974442	0.932723054320151	0.930969910983235	0.932266366069053	0.938561495497549	1.01366346616293	0.936481490296885	1.0174482265723	0.934917869586859
ELF3	0.875344910104417	0.811283073626378	0.768324347376687	0.760543216932995	1.05864853441364	1.02242388103349	1.06051362786579	0.854813607315882	0.815397389178468	0.82485150161146	0.937510665850206	0.834337499377583	0.875087314362074	1.02821918149651	NA	0.979381160255882	1.00054767197919	1.00019873472227	0.928152471844688	1.00913840443588	1.02432744655714	1.02289924497965	0.893284689570742	0.897682845656807	0.959549411162314	0.961138946596603	0.915299974410868	0.918879403460177	0.928200783649264	0.927880238713375	0.991928951101757	1.09885616649994	0.993329881802835	0.943603980895466	0.943691891696344	0.94330194504735	1.01265763879194	0.943238683767457	0.942103617906912	0.943278208871829	0.943595999721059	0.942472767929503	0.943964989413892	0.944159023530219	0.943548150107261	0.946607341490545	1.22974400486362	0.945936860651795	1.01314698089574	0.946473644145889
FAT1	1.13016423224298	0.774221762105868	0.62435282545748	0.910406028195763	0.881677878907796	0.784387607387337	0.793573708101251	0.875482450083225	0.939643287876138	0.835468566036219	1.02174551542653	0.889681136786693	1.05580329456792	1.05205443897266	0.979381160255882	NA	0.927682781921034	0.875505384378542	0.939583236212764	1.02296907410558	0.947093557071315	1.12361225665962	0.952927711570062	0.96321856198901	1.17051492550878	0.97437885911709	0.988623512867986	0.990872662665813	1.00717699727755	1.11766748296979	1.12198481215528	0.942829365605449	1.00308198068625	1.0263004904047	0.953295694883851	1.02775630665449	1.0263863013902	0.954124360641768	0.954401652417183	0.953503390377785	0.954133570530707	1.02462296091105	1.02738950283987	0.953160869932525	0.954457358908083	0.956982955967179	1.0262500328783	1.02686080080331	1.02410043789577	0.956982955967179
ERBB3	1.25502370827383	1.09122901119609	1.0189952685232	0.79311191233343	1.00284195895799	1.10708028689016	1.07418929550345	1.07154050496999	0.872616654784151	1.13081909136981	0.888007080444031	0.988901328833729	0.998083633680696	1.0866728154641	1.00054767197919	0.927682781921034	NA	0.936782382297579	0.949059690791772	0.960508520281424	1.07515977796009	1.06991786884548	0.905696824655419	0.910901949249652	0.918226222490533	0.98870009778364	1.00639204042151	0.934989208627472	0.946102468833053	1.02748974501868	0.946338386703028	0.948336045069776	1.02368578537907	0.966151594248082	1.34171415800648	1.05197585112717	1.05291847328905	1.05172949533852	1.05294341845397	0.962017075300001	0.961030408636634	0.961664873469027	0.963142270706656	1.05082407298474	1.05101903148643	0.965961080817633	1.1941626930361	0.96487395208497	0.964465843300472	0.963427499706951
ERCC2	0.823620469663178	1.25631714029097	1.103286884374	0.870278236994423	1.00251705792395	0.873391539547742	0.798929309318492	1.07505927931337	0.958468394977262	0.972183224163849	1.05135215361346	0.896766456017344	0.999172689004064	0.902221440540923	1.00019873472227	0.875505384378542	0.936782382297579	NA	0.8975053375654	0.960423149693357	1.07378138272565	0.900950946238584	0.962712723280267	1.08594737333851	0.988905578833636	0.988518472900472	1.0072431394542	1.00445774479664	1.29403043499093	1.02632848401757	0.946635213108483	1.02363410320489	0.949115294556362	1.05276895302564	1.05099463738372	0.962295756311252	0.961627301283299	1.21636427271301	1.20839689998169	0.965697826656193	0.962423001870675	1.05364481185613	0.961677404546235	1.0515574650913	1.20876317665154	1.04875049267397	1.04753354601856	1.04783034201853	0.964970549424312	1.04477875325363
MGA	0.941381981973311	0.827010034668407	0.750342919166498	0.881974475266322	1.00528161948259	0.887319798209314	0.907167613339807	1.06368773837972	0.849428094529029	0.858447584795142	0.906333824150487	0.992402475896085	0.912868875239451	0.998050682261209	0.928152471844688	0.939583236212764	0.949059690791772	0.8975053375654	NA	1.03310079463284	1.13834686917695	0.971461835366448	0.971711568402577	0.929381560782273	0.934490991552483	1.08189975029469	0.946136629841242	0.94953286391408	0.957670692335286	0.957988349072417	0.957289229729899	0.960596549269796	1.10830193266075	1.03824597803779	1.04097345297226	0.971844390986008	1.03359159529123	0.971607392256717	0.971372002343576	0.970646599706655	1.14951776464888	0.972666502735733	0.971342690908782	0.971391557121691	0.970742439057284	0.974046813857553	1.03216374269006	0.973982779322345	0.974258115271025	0.972913389141152
AHNAK	0.876667332337123	0.861760408858454	0.867770642637523	0.970004120674684	0.94082352162087	0.905080736414619	0.78801511976663	0.836864046676494	0.905152369426617	0.873070839585586	0.919316760641466	0.882300450990007	1.00824010344938	0.929382169755565	1.00913840443588	1.02296907410558	0.960508520281424	0.960423149693357	1.03310079463284	NA	1.06182121971596	1.05857158488737	0.937902247622665	0.940515374720179	0.997737089622562	1.00034416496974	1.01015890862001	0.960571398093251	1.02370955695982	0.966929867427977	0.967470793623014	0.970060087055715	1.02058068365411	0.98059245772475	0.980293512574856	0.980370389059898	1.03927080603015	0.979798347137493	0.982222395366655	0.982079984545415	1.04096832533984	0.981002035206642	0.978812696722467	1.04082494463284	0.980670065969522	0.982657829371089	1.0346273847885	0.98226005110576	0.982356779749772	0.982533487103295
TSC1	1.42153666557522	0.778532405467085	1.09965255946128	0.914454103526121	1.25945396614373	0.995084781070467	1.12304341567172	1.21115761415979	0.895347541289449	0.853668570944561	0.911841797620073	1.01859755158191	1.03195676791296	1.02831558122584	1.02432744655714	0.947093557071315	1.07515977796009	1.07378138272565	1.13834686917695	1.06182121971596	NA	0.984018163408344	0.924098784510684	0.930423726955874	0.937944275894414	1.00788332044816	1.02613960342121	0.952635316920894	0.964026145554549	0.96476554134594	0.964263251972191	0.967558517321941	1.04375037253383	0.982088464768921	1.06727111172457	0.980906327956459	0.980875207450615	1.21904177068827	0.98054968603236	0.980673427021315	0.980165098753146	0.980875207450615	0.979753288702557	1.06878306878307	0.980642461023334	0.983252783826367	1.21341086183404	1.0640037127404	0.984033718500527	1.06570774762994
